Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C1206,134.5211,-56.7436,-90.0,top
C2,22u,C1206,136.7436,-56.7436,-90.0,top
C3,10u,PANASONIC_A,134.5211,-61.8236,-90.0,top
C4,22u,PANASONIC_B,164.0486,-61.8236,180.0,top
C5,22u,PANASONIC_B,170.3986,-61.8236,180.0,top
C6,100n,C0402,137.0611,-62.7761,90.0,top
C7,10u,PANASONIC_A,153.8887,-67.6974,180.0,top
C8,100n,C0402,153.0949,-70.8724,90.0,top
C9,1u,C0402,135.6324,-76.2698,0.0,top
C10,100n,C0402,135.6325,-77.5397,0.0,top
C11,100n,C0402,129.7586,-79.2861,180.0,top
C12,100n,C0402,165.9536,-79.2861,180.0,top
C13,22u,C1206,171.6686,-79.6036,0.0,top
C14,20p,C0402,124.6786,-80.2386,180.0,top
C15,100n,C0402,131.8225,-81.985,-90.0,top
C16,10u,PANASONIC_A,156.7459,-82.9373,180.0,top
C17,100n,C0402,154.3649,-85.3186,0.0,top
C18,100n,C0402,156.7458,-85.3187,0.0,top
C19,1u,C0402,129.1236,-85.7948,90.0,top
C20,100n,C0402,130.3936,-85.7948,90.0,top
C21,20p,C0402,125.9486,-88.0173,0.0,top
C22,10u,PANASONIC_A,170.8748,-88.8111,180.0,top
C23,100n,C0402,141.1126,-90.2398,180.0,top
C24,1u,C0402,141.1126,-91.5097,180.0,top
C25,1u,C0402,135.7911,-93.0973,-90.0,top
C26,100n,C0402,136.9024,-93.0973,-90.0,top
C27,100n,C0402,153.5711,-93.5736,-90.0,top
C28,100n,C0402,159.9211,-94.3673,0.0,top
C29,2.2u,C0805,155.3176,-96.1136,0.0,top
C30,10u,PANASONIC_A,159.9211,-97.5423,90.0,top
C31,2.2u,C0805,155.3174,-98.3361,180.0,top
C32,100n,C0402,128.4886,-106.5911,180.0,top
C33,1.0n,C0402,156.1111,-106.5911,90.0,top
C34,100n,C0402,167.2236,-106.5911,180.0,top
C35,1.0n,C0402,159.7624,-106.5912,90.0,top
C36,100n,C0402,128.1711,-109.1311,180.0,top
C37,100n,C0402,171.9861,-110.4011,0.0,top
C38,100p,C0402,124.9961,-110.7186,90.0,top
C39,1.0n,C0402,133.2511,-110.7186,90.0,top
C40,1.0n,C0402,145.6336,-110.7186,90.0,top
C41,1.0n,C0402,153.8886,-110.7186,90.0,top
C42,100p,C0402,164.0486,-111.0361,90.0,top
C43,100p,C0402,172.9386,-112.3061,90.0,top
C44,100n,C0402,144.9986,-112.6236,180.0,top
C45,100n,C0402,164.0486,-113.5761,-90.0,top
C46,100p,C0402,124.9961,-114.5286,-90.0,top
C47,1.0n,C0402,133.2511,-114.5286,-90.0,top
C48,1.0n,C0402,145.6336,-114.5286,-90.0,top
C49,1.0n,C0402,153.8886,-114.5286,-90.0,top
C50,1u,C0402,160.8736,-115.4811,180.0,top
C51,100n,C0402,143.7286,-127.5461,-90.0,top
C52,100n,C0402,163.0961,-127.5461,-90.0,top
C53,100n,C0402,128.4886,-130.4036,180.0,top
C54,ESD,C0603,165.7948,-143.5798,-90.0,top
C55,ESD,C0603,124.6786,-144.3735,180.0,top
C56,ESD,C0603,138.0136,-144.3736,0.0,top
C57,ESD,C0603,150.8724,-144.3736,0.0,top
C58,ESD,C0603,168.8113,-144.3736,180.0,top
C59,ESD,C0603,131.3461,-155.6448,90.0,top
C60,ESD,C0603,154.0474,-155.6448,90.0,top
C61,ESD,C0603,142.7762,-155.6449,90.0,top
D1,1N5819HW,SOD123,160.0701,-57.3786,90.0,top
D2,1N5819HW,SOD123,174.6946,-57.3786,-90.0,top
D3,BAT54S,SOT23,144.681,-100.7172,90.0,top
H2,MOUNT-HOLE,"3,0TINY",158.9686,-127.2285,0.0,top
H3,MOUNT-HOLE,"3,0TINY",138.0136,-127.2286,0.0,top
IC1,R-78E3.3-0.5,WE78,128.2486,-58.0136,-90.0,top
IC2,TLC59281DBQ,TSSOP24_0635,156.7461,-75.7936,0.0,top
IC3,LD2981ABU33,SOT89,170.2396,-83.7013,0.0,top
IC4,STM32F373CCT6,LQFP48,137.3786,-84.6836,-90.0,top
IC5,PCM5100APW,SSOP20,157.6987,-90.0811,90.0,top
IC6,MCP6004,TSSOP14_065,129.1236,-112.6236,-90.0,top
IC7,MCP6004,TSSOP14_065,149.7611,-112.6236,-90.0,top
IC8,TL072PW,TSSOP08,168.4936,-112.6236,-90.0,top
IC9,LM4040B10,DBZ_R-PDSO-G3,160.0799,-112.9411,0.0,top
J1,PJ301_THONKICONN6,WQP_PJ_301M6,125.6311,-137.11555,180.0,top
J2,PJ301_THONKICONN6,WQP_PJ_301M6,137.0611,-137.11555,180.0,top
J3,PJ301_THONKICONN6,WQP_PJ_301M6,148.4911,-137.11555,180.0,top
J4,PJ301_THONKICONN6,WQP_PJ_301M6,159.9211,-137.11555,180.0,top
J5,PJ301_THONKICONN6,WQP_PJ_301M6,171.3511,-137.11555,180.0,top
J6,PJ301_THONKICONN6,WQP_PJ_301M6,125.6311,-151.72055,180.0,top
J7,PJ301_THONKICONN6,WQP_PJ_301M6,137.0611,-151.72055,180.0,top
J8,PJ301_THONKICONN6,WQP_PJ_301M6,148.4911,-151.72055,180.0,top
J9,PJ301_THONKICONN6,WQP_PJ_301M6,159.9211,-151.72055,180.0,top
J10,PJ301_THONKICONN6,WQP_PJ_301M6,171.3511,-151.72055,180.0,top
JP1,FIDUCIAL1X2,FIDUCIAL-1X2,120.8686,-53.5686,0.0,top
JP2,FIDUCIAL1X2,FIDUCIAL-1X2,176.1136,-53.5686,0.0,top
JP3,FIDUCIAL1X2,FIDUCIAL-1X2,120.8686,-155.8036,0.0,top
JP4,FIDUCIAL1X2,FIDUCIAL-1X2,176.1136,-155.8036,0.0,top
JP5,,1X02,121.5036,-105.0036,270.0,bottom
JP6,,1X04,121.5036,-69.4436,90.0,bottom
JP8,M05X2SHD,2X5-SHROUDED,167.2236,-56.1086,90.0,bottom
L1,33u,L2012C,135.4736,-53.5686,180.0,top
L2,,0603,159.6036,-61.4474,90.0,top
L3,,0603,175.1611,-61.6061,90.0,top
L4,,0603,150.8724,-67.7561,-90.0,top
L5,,0603,172.8386,-77.5399,0.0,top
LED1,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-65.6336,0.0,top
LED2,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-71.0311,0.0,top
LED3,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-76.4286,0.0,top
LED4,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-81.8261,0.0,top
LED5,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-87.2236,0.0,top
LED6,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-92.6211,0.0,top
LED7,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-98.0186,0.0,top
LED8,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-103.4161,0.0,top
Q1,8MHz,CTS406,125.2636,-84.0436,90.0,top
R1,10kB,ALPS_POT_VERTICAL_PS,130.3936,-71.28675,180.0,top
R2,10kB,ALPS_POT_VERTICAL_PS,166.5886,-71.28675,180.0,top
R3,10k,R0402,154.8411,-71.0311,0.0,top
R4,10k,R0402,134.9974,-75.1586,180.0,top
R5,100,R0402,129.7587,-83.2547,180.0,top
R6,100,R0402,129.7586,-84.2074,180.0,top
R7,10kB,ALPS_POT_VERTICAL_PS,129.1236,-98.59175,180.0,top
R8,10kB,ALPS_POT_VERTICAL_PS,167.8586,-98.59175,180.0,top
R9,100,R0402,124.2024,-103.0986,90.0,top
R10,100,R0402,124.2024,-105.7973,90.0,top
R11,2.2k,R0402,157.2224,-106.5911,90.0,top
R12,2.2k,R0402,158.6511,-106.5911,90.0,top
R13,100k,R0402,156.4286,-109.4486,90.0,top
R14,100k,R0402,136.4261,-110.0836,0.0,top
R15,100k,R0402,142.4586,-110.0836,180.0,top
R16,10k,R0402,169.4461,-110.4011,180.0,top
R17,56k,R0402,123.7261,-110.7186,-90.0,top
R18,33k,R0402,134.5211,-110.7186,-90.0,top
R19,20k,R0402,144.3636,-110.7186,-90.0,top
R20,33k,R0402,155.1586,-110.7186,-90.0,top
R21,10k,R0402,161.5086,-111.0361,90.0,top
R22,33k,R0402,162.7786,-111.0361,-90.0,top
R23,120k,R0402,142.4586,-111.3536,180.0,top
R24,100k,R0402,121.1861,-111.9886,-90.0,top
R25,200k,R0402,122.4561,-111.9886,-90.0,top
R26,110k,R0402,135.7911,-111.9886,-90.0,top
R27,200k,R0402,156.4286,-111.9886,-90.0,top
R28,33k,R0402,174.2086,-112.3061,-90.0,top
R29,140k,R0402,142.4586,-113.8936,180.0,top
R30,200k,R0402,122.4561,-114.5286,90.0,top
R31,33k,R0402,123.7261,-114.5286,90.0,top
R32,20k,R0402,134.5211,-114.5286,90.0,top
R33,120k,R0402,135.7911,-114.5286,90.0,top
R34,33k,R0402,144.3636,-114.5286,90.0,top
R35,20k,R0402,155.1586,-114.5286,90.0,top
R36,120k,R0402,156.4287,-114.5286,90.0,top
R37,2.2k,R0402,162.7786,-114.8461,-90.0,top
R38,100k,R0402,142.4586,-115.1636,180.0,top
R39,100k,R0402,156.4286,-116.7511,-90.0,top
R40,100k,R0402,122.4561,-117.0686,-90.0,top
R41,100k,R0402,135.7911,-117.0686,-90.0,top
R42,10kB,ALPS_POT_VERTICAL,129.1236,-122.57175,180.0,top
R43,10kB,ALPS_POT_VERTICAL,148.4911,-122.57175,180.0,top
R44,10kB,ALPS_POT_VERTICAL,167.8586,-122.57175,180.0,top
R45,10k,R0402,154.5236,-144.6911,-90.0,top
R46,1.0k,R0603,163.0961,-145.6436,0.0,top
R47,1.0k,R0603,174.5261,-145.6436,0.0,top
R48,10k,R0402,140.8711,-145.9611,-90.0,top
R49,10k,R0402,144.6811,-145.9611,-90.0,top
R50,10k,R0402,132.4573,-146.4373,180.0,top
R51,10k,R0402,142.4586,-147.2311,90.0,top
SW1,,TACTILE-PTH,144.0461,-58.0136,0.0,top
SW2,,TACTILE-PTH,152.9361,-58.0136,0.0,top
